2026-04-26 20:42:15 | INFO | Pipeline started
2026-04-26 20:42:15 | INFO | File input: sample_inputs/ai_article.txt
2026-04-26 20:42:15 | INFO | URL inputs: ['https://en.wikipedia.org/wiki/Artificial_intelligence']
2026-04-26 20:42:15 | INFO | Ingesting file: sample_inputs/ai_article.txt
2026-04-26 20:42:15 | INFO | TXT ingested: ai_article.txt (2,693 chars)
2026-04-26 20:42:15 | INFO | Ingesting 1 URL(s)…
2026-04-26 20:42:23 | INFO | URL ingested: https://en.wikipedia.org/wiki/Artificial_intelligence (208,924 chars)
2026-04-26 20:42:23 | INFO | Total documents ingested: 2
2026-04-26 20:42:23 | INFO | Preprocessing documents…
2026-04-26 20:42:46 | DEBUG | Cleaned 'sample_inputs\ai_article.txt': 2,693 → 2,668 chars
2026-04-26 20:42:46 | INFO | 'sample_inputs\ai_article.txt' → 1 chunk(s) (~521 tokens cleaned)
2026-04-26 20:42:47 | DEBUG | Cleaned 'https://en.wikipedia.org/wiki/Artificial_intelligence': 208,924 → 208,900 chars
2026-04-26 20:42:48 | INFO | 'https://en.wikipedia.org/wiki/Artificial_intelligence' → 74 chunk(s) (~57,521 tokens cleaned)
2026-04-26 20:42:48 | INFO | Total chunks after preprocessing: 75
2026-04-26 20:42:54 | INFO | LLM provider: groq | model: llama3-8b-8192
2026-04-26 20:42:54 | INFO | Processing chunk 1/75 — source: sample_inputs\ai_article.txt
2026-04-26 20:42:55 | ERROR | Non-retriable API error 400: Error code: 400 - {'error': {'message': 'The model `llama3-8b-8192` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on which model to use instead.', 'type': 'invalid_request_error', 'code': 'model_decommissioned'}}
2026-04-26 20:42:55 | ERROR | Fatal error during extraction: Error code: 400 - {'error': {'message': 'The model `llama3-8b-8192` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on which model to use instead.', 'type': 'invalid_request_error', 'code': 'model_decommissioned'}}
2026-04-26 20:42:55 | WARNING | Chunk 1 failed extraction — skipping.
2026-04-26 20:42:55 | INFO | Processing chunk 2/75 — source: https://en.wikipedia.org/wiki/Artificial_intelligence
